105,25
102,88
102,87
102,85
102,68
102,66
102,58
102,51
102,50
102,48
102,43
102,39
102,34
102,30
102,16
102,14
102,1
100,101
100,80
100,79
98,102
98,99
98,95
98,91
98,90
98,89
98,46
98,44
98,25
98,19
96,32
95,94
95,32
93,95
91,62
90,98
90,86
90,25
88,75
88,67
88,55
88,44
88,36
88,33
88,0
59,25
54,38
48,25
44,100
44,45
44,16
40,25
81,25
79,78
77,95
76,25
73,29
69,25
65,25
64,25
37,48
31,25
25,102
25,100
25,98
25,95
25,90
25,89
25,88
25,81
25,73
25,72
25,71
25,61
25,60
25,52
25,49
25,48
25,47
25,44
25,43
25,32
25,29
25,23
25,22
24,25
22,74
22,25
20,88
15,102
10,82
10,70
10,63
10,56
10,53
10,28
10,26
10,18
10,12
10,9
10,8
10,7
10,6
10,5
10,4
10,3
9,104
9,103
9,97
9,92
9,84
9,83
9,82
9,70
9,52
9,42
9,41
9,38
9,35
9,27
9,21
9,17
9,13
9,12
9,11
9,10
9,8
9,7
9,6
9,5
9,2
7,82
7,70
7,57
7,26
7,12
7,10
7,9
7,8
7,6
7,5
